,season,episode,category,value,clue,answer
0,6,"Show #1375 - Friday, July 20, 1990",POLITICAL QUOTES,$100,"Robert Frost said it consists of ""twelve persons chosen to decide who has the better lawyer""",a jury
1,6,"Show #1375 - Friday, July 20, 1990",FAMOUS WELSHMEN,$100,Sir Henry Morgan became Lt. gov. of Jamaica despite his naughty nautical career as one of these,a pirate
2,6,"Show #1375 - Friday, July 20, 1990",WEATHER,$100,On weather maps isobars connect points of equal pressure & isotherms connect points equal in this,temperature
3,6,"Show #1375 - Friday, July 20, 1990",SONG LYRICS,$100,"In a song from ""Okhaloma!"", ""Everythin's up to date in"" this city that's not in Oklahoma",Kansas City
4,6,"Show #1375 - Friday, July 20, 1990",RELIGIOUS HISTORY,$100,The Counter-Reformation was this church's way of trying to check the spread of Protestantism,the Roman Catholic church
5,6,"Show #1375 - Friday, July 20, 1990",FAREWELLS,$100,"A way to say goodbye to someone who's taking a trip, it's French for ""good journey""",bon voyage
6,6,"Show #1375 - Friday, July 20, 1990",POLITICAL QUOTES,$200,"Ironically, it was Abraham Lincoln who said, ""The ballot is stronger than"" this",the bullet
7,6,"Show #1375 - Friday, July 20, 1990",FAMOUS WELSHMEN,$200,"This Welsh singer once billed himself as Tommy Scott, the twisting vocal",Tom Jones
8,6,"Show #1375 - Friday, July 20, 1990",WEATHER,$200,"The highest known barometer reading in the U.S., 31.85, was recorded in this state during a 1989 cold wave",Alaska
9,6,"Show #1375 - Friday, July 20, 1990",SONG LYRICS,$200,"""By the light of"" this ""I want to spoon, to my honey I'll croon love's tune""",the silvery moon
10,6,"Show #1375 - Friday, July 20, 1990",RELIGIOUS HISTORY,$200,"Tradition holds that this religion's calendar began at creation, 5750 years ago",Judaism
11,6,"Show #1375 - Friday, July 20, 1990",FAREWELLS,$200,"When one actor leaves the stage; it's an ""exit""; when more than one leaves, it's called this",an exeunt
12,6,"Show #1375 - Friday, July 20, 1990",POLITICAL QUOTES,$300,"Will Rogers once said, ""I belong to no organized party -- I am"" one of these",a Democrat
13,6,"Show #1375 - Friday, July 20, 1990",FAMOUS WELSHMEN,$300,"A 1989 PBS documentary about this actor was subtitled ""In From the Cold""",Richard Burton
14,6,"Show #1375 - Friday, July 20, 1990",WEATHER,$300,"During a storm this can occur in a cloud, between clouds or from a cloud to the ground",lightning
15,6,"Show #1375 - Friday, July 20, 1990",SONG LYRICS,$300,"""Many a heart is aching, if you could read them all; many the hopes that have vanished, after"" this",the ball
16,6,"Show #1375 - Friday, July 20, 1990",RELIGIOUS HISTORY,$300,In 630 Mohammed returned in triumph to this city he had fled in secret about 8 years earlier,Mecca
17,6,"Show #1375 - Friday, July 20, 1990",FAREWELLS,$300,"From the Latin for ""to say farewell"", it's the student who says farewell at a graduation ceremony",the valedictorian
18,6,"Show #1375 - Friday, July 20, 1990",POLITICAL QUOTES,$400,"John Nance Garner called this office ""a spare tire on the automobile of government""",the vice presidency
19,6,"Show #1375 - Friday, July 20, 1990",FAMOUS WELSHMEN,$400,A Welshman named Owen is considered the founder of this family which ruled England from 1485-1603,the Tudors
20,6,"Show #1375 - Friday, July 20, 1990",WEATHER,$400,The wind direction most commonly observed during a given period is called this,the prevailing (prevalent) wind
21,6,"Show #1375 - Friday, July 20, 1990",SONG LYRICS,$400,"""I'm just a kid again doin' what I did again singing a song"" when this happens","when the red, red robin comes bob, bob, bobbin\' along"
22,6,"Show #1375 - Friday, July 20, 1990",RELIGIOUS HISTORY,$400,"In Romans 6:3-4 he likened baptism to sharing in the death, burial & resurrection of Christ",(St.) Paul
