,season,episode,category,value,clue,answer
0,26,"Show #5975 - Friday, July 30, 2010",HERE COMES THE SUN KING,$200,"On Sept. 1, 1715 Louis XIV died in this city, site of a fabulous palace he built",Versailles
1,26,"Show #5975 - Friday, July 30, 2010",IT'S GOOD TO BE HIM,$200,"2 Oscar nominations, 2 ""Sexiest Man Alive"" crowns & we won't get into the whole Jennifer/Angelina thing...",Brad Pitt
2,26,"Show #5975 - Friday, July 30, 2010",STATE MOTTOES,$200,"Arizona's motto, ditat deus, means he ""enriches""",God
3,26,"Show #5975 - Friday, July 30, 2010",SHOW ME THE MONKEY,$200,Eagles & leopards are known to hunt DeBrazza's monkeys but intrusion by these primates is their biggest threat,humans
4,26,"Show #5975 - Friday, July 30, 2010",SAY CHEESE,$200,"In Greece a favorite pizza from Domino's is topped with pepperoni, onions, Greek olives & this 4-letter cheese",feta
5,26,"Show #5975 - Friday, July 30, 2010",SPAT THA PROPERLY SPELLD WURD,$200,Foriegn freinds fullfil fantasies,fantasies
6,26,"Show #5975 - Friday, July 30, 2010",HERE COMES THE SUN KING,$400,"A lavaliere, an ornamental one of these hanging from a necklace, bears the name of a duchess who bore Louis 4 kids",a pendant
7,26,"Show #5975 - Friday, July 30, 2010",IT'S GOOD TO BE HIM,$400,"Multi-platinum-selling singer with ""Justified""; has spent quality time with Cameron Diaz",Justin Timberlake
8,26,"Show #5975 - Friday, July 30, 2010",STATE MOTTOES,$400,"Aha!  I have found it--this Greek word, California's motto",Eureka
9,26,"Show #5975 - Friday, July 30, 2010",SHOW ME THE MONKEY,$400,"Old-world monkeys, like our friend the patas, don't have prehensile these, many new-world monkeys do",tails
10,26,"Show #5975 - Friday, July 30, 2010",SAY CHEESE,$400,Sakura cheese from Hokkaido is a soft cheese flavored with leaves from this fruit tree,cherry
11,26,"Show #5975 - Friday, July 30, 2010",SPAT THA PROPERLY SPELLD WURD,$400,Persistant primatives possess potatos,possess
12,26,"Show #5975 - Friday, July 30, 2010",HERE COMES THE SUN KING,$600,"As a 10-year-old, Louis' rule was strengthened in 1648 with the end of this numeric religious war",the Thirty Years\' War
13,26,"Show #5975 - Friday, July 30, 2010",IT'S GOOD TO BE HIM,$600,Nice H.S. grad present!  Nike signed him to a $90 million contract before he'd even played 1 game as a Cleveland Cavalier,LeBron James
14,26,"Show #5975 - Friday, July 30, 2010",STATE MOTTOES,$600,"For Oklahoma, not amor but labor omnia vincit; ""work"" does this to ""all things""",conquers all
15,26,"Show #5975 - Friday, July 30, 2010",SHOW ME THE MONKEY,$600,The Hanuman langur is named for a monkey god of this religion,Hinduism
16,26,"Show #5975 - Friday, July 30, 2010",SAY CHEESE,$600,Cojack is a blend of Jack cheese & this one,Colby
17,26,"Show #5975 - Friday, July 30, 2010",SPAT THA PROPERLY SPELLD WURD,$600,Dependent defendents dissapoint debters,dependent
18,26,"Show #5975 - Friday, July 30, 2010",HERE COMES THE SUN KING,$800,"This ""Candide"" writer portrayed the grandeur of the Sun King in his ""Age Of Louis  XIV""",Voltaire
19,26,"Show #5975 - Friday, July 30, 2010",IT'S GOOD TO BE HIM,$800,"Fans shrieking & swooning when you sing your hits like ""You Raise Me Up""--no joshing, it's good to be this 29-year-old",Josh Groban
20,26,"Show #5975 - Friday, July 30, 2010",STATE MOTTOES,"DD: $2,400","Pennsylvania's motto is ""Virtue, liberty, and"" this, also the name of a hall there",Independence
21,26,"Show #5975 - Friday, July 30, 2010",SHOW ME THE MONKEY,$800,"Saki monkeys are diurnal, which means this is when they like to get things done",during the daytime
22,26,"Show #5975 - Friday, July 30, 2010",SAY CHEESE,$800,"The ""Cheese Primer"" calls these 2 classics from the Netherlands ""two of the most unexciting cheeses imaginable""",Edam & Gouda
23,26,"Show #5975 - Friday, July 30, 2010",SPAT THA PROPERLY SPELLD WURD,$800,Eficiency experts exagerate excelence,experts
24,26,"Show #5975 - Friday, July 30, 2010",HERE COMES THE SUN KING,$1000,"This French phrase attributed to Louis XIV translates to ""I am the state""",L\'etat c\'est moi
25,26,"Show #5975 - Friday, July 30, 2010",IT'S GOOD TO BE HIM,$1000,QBed his team to 3 Super Bowl wins in 4 years; probably never has to buy a meal in Boston again,Tom Brady
26,26,"Show #5975 - Friday, July 30, 2010",STATE MOTTOES,$1000,Alaska has this 4-word motto,"""North to the Future"""
27,26,"Show #5975 - Friday, July 30, 2010",SHOW ME THE MONKEY,$1000,It's the 5-letter name of the monkey seen here.  What a tool!,a drill
28,26,"Show #5975 - Friday, July 30, 2010",SAY CHEESE,$1000,"Fonduta is the Italian version of fondue, made with this type of cheese that also begins with ""fon""",fontina
29,26,"Show #5975 - Friday, July 30, 2010",SPAT THA PROPERLY SPELLD WURD,$1000,Sacrilegious sheperds seperate suspisciously,sacrilegious
