,season,episode,category,value,clue,answer
0,32,"Show #7355 - Friday, July 29, 2016",STATE OF THE TV SHOW,$200,"""Grey's Anatomy""",Washington
1,32,"Show #7355 - Friday, July 29, 2016",U.S. CODE TALKING,$200,"Title 4, Section 8: this ""should never be carried flat or horizontally, but always aloft and free""",the flag
2,32,"Show #7355 - Friday, July 29, 2016",WOMEN AUTHORS,$200,"A manuscript by this ""Good Earth"" author was lost for 40 years, found in a storage unit in Texas & published in 2013",(Pearl) Buck
3,32,"Show #7355 - Friday, July 29, 2016",WE'LL BE GRILLIN' & CHILLIN',$200,"The HPBA recons Memorial Day, Fourth of July & this holiday as the 3 biggest steak-grilling days in the USA",Labor Day
4,32,"Show #7355 - Friday, July 29, 2016","""C-U""",$200,It's a person in charge of a museum collection; Margaret Mead was one at the American Museum of Natural History,a curator
5,32,"Show #7355 - Friday, July 29, 2016",IN SEPTEMBER,$200,"A September 1666 fire destroyed much of this capital city, including its cathedral",London
6,32,"Show #7355 - Friday, July 29, 2016",STATE OF THE TV SHOW,$400,"""Big Love""",Utah
7,32,"Show #7355 - Friday, July 29, 2016",U.S. CODE TALKING,$400,"Title 13, Sec. 141: ""The Secretary shall, in the year 1980 and every 10 years thereafter, take a decennial"" one of these",a census
8,32,"Show #7355 - Friday, July 29, 2016",WOMEN AUTHORS,$400,"She made a splash with her 1970 young adult novel ""Are You There God? It's Me, Margaret?""",(Judy) Blume
9,32,"Show #7355 - Friday, July 29, 2016",WE'LL BE GRILLIN' & CHILLIN',$400,"Named for an insect, the preparation for grilling involves splitting meat down the middle",butterflying
10,32,"Show #7355 - Friday, July 29, 2016","""C-U""",$400,He's the Stooge in the middle,Curly
11,32,"Show #7355 - Friday, July 29, 2016",IN SEPTEMBER,$400,September in the Southern Hemisphere is the seasonal equivalent of this month in the north,March
12,32,"Show #7355 - Friday, July 29, 2016",STATE OF THE TV SHOW,$600,"""Northern Exposure"" & ""Men in Trees""",Alaska
13,32,"Show #7355 - Friday, July 29, 2016",U.S. CODE TALKING,$600,"Title 2, Sec. 4901: ""A person shall not serve as"" one of these ""of the Senate before he has attained the age of 16 years""",a page
14,32,"Show #7355 - Friday, July 29, 2016",WOMEN AUTHORS,$600,"In ""The Mill on the Floss"", she wrote, ""The happiest women, like the happiest nations, have no history""",George Eliot
15,32,"Show #7355 - Friday, July 29, 2016",WE'LL BE GRILLIN' & CHILLIN',$600,This sizzling Mexican dish consists of strips of grilled beef or chicken sauteed with onions & peppers,fajitas
16,32,"Show #7355 - Friday, July 29, 2016","""C-U""",$600,The name of this movement came from a derisive 1908 review about Georges Braque,Cubism
17,32,"Show #7355 - Friday, July 29, 2016",IN SEPTEMBER,"DD: $2,000","On September 9 (not in spring) Japan observes Choyo No Sekku, a festival celebrating this flower",the chrysanthemum
18,32,"Show #7355 - Friday, July 29, 2016",STATE OF THE TV SHOW,$800,"""Royal Pains""",New York
19,32,"Show #7355 - Friday, July 29, 2016",U.S. CODE TALKING,$800,"Title 6, Section 291: ""Abolishment of INS"", this service of the Justice Department",Immigration and Naturalization
20,32,"Show #7355 - Friday, July 29, 2016",WOMEN AUTHORS,$800,"The 10th novel in Anne McCaffrey's ""Dragonriders"" fantasy series is titled ""The Renegades of"" this planet",Pern
21,32,"Show #7355 - Friday, July 29, 2016",WE'LL BE GRILLIN' & CHILLIN',$800,"Grown in Georgia, the Vidalia type of these are in season during summer & are great on burgers or skewered",onions
22,32,"Show #7355 - Friday, July 29, 2016","""C-U""",$800,"(Hi, I'm Al Roker.) You can expect heavy rain, lightning & thunder from this type of cloud that's recognized by its anvil-shaped top",cumulonimbus
23,32,"Show #7355 - Friday, July 29, 2016",IN SEPTEMBER,$800,"Tajikistan, Armenia & Latvia all gained independence in September of this tumultuous year",1991
24,32,"Show #7355 - Friday, July 29, 2016",STATE OF THE TV SHOW,$1000,"""The Middle""",Indiana
25,32,"Show #7355 - Friday, July 29, 2016",U.S. CODE TALKING,$1000,"Title 3, Section 102: ""The President shall receive...compensation in the aggregate amount of _____ a year""","$400,000 a year"
26,32,"Show #7355 - Friday, July 29, 2016",WOMEN AUTHORS,$1000,"A towering tale of the old west, ""Cimarron"" by this ""Show Boat"" author was the No. 1 book of 1930",Edna Ferber
27,32,"Show #7355 - Friday, July 29, 2016",WE'LL BE GRILLIN' & CHILLIN',$1000,Texas based Genghis Grill specializes in this assemble-it-yourself style of barbecue grilling,Mongolian barbecue
28,32,"Show #7355 - Friday, July 29, 2016","""C-U""",$1000,"The name of this resort city about 40 miles south of Mexico city translates to ""horn of the cow""",Cuernavaca
29,32,"Show #7355 - Friday, July 29, 2016",IN SEPTEMBER,$1000,"Make a donation on September 27, the feast day of this saint ""de Paul"", the patron saint of charities",St. Vincent de Paul
30,32,"Show #7355 - Friday, July 29, 2016",SCARY-SOUNDING ANIMALS,$400,"Also known as sand crab, this type of crab gets its name for how it blends into beaches & dunes--I'm calling that one Casper",a ghost crab
31,32,"Show #7355 - Friday, July 29, 2016",SPELL THE FIRST NAME,$400,Supreme Court judge Sotomayor,S-O-N-I-A
32,32,"Show #7355 - Friday, July 29, 2016",WORKING WITH A BEATLE,$400,"In a 1995 Pizza Hut ad, Micky Dolenz, Peter Tork & Davy Jones welcomed Ringo as this band's new drummer",the Monkees
33,32,"Show #7355 - Friday, July 29, 2016",BATTLESHIPS,$400,"On February 15, 1898, just hours after the photo seen here was taken, this battleship exploded",the Maine
34,32,"Show #7355 - Friday, July 29, 2016",WORD ORIGINS,"DD: $1,000","The word for this part of speech is from the Latin for ""word""",verb
35,32,"Show #7355 - Friday, July 29, 2016",TRAVEL IRELAND,$400,"To kiss this, visitors once had to be held by their ankles & lowered head first; today, just lie down & lean backward",the Blarney Stone
36,32,"Show #7355 - Friday, July 29, 2016",SCARY-SOUNDING ANIMALS,$800,A literary character gave his name to this fish discovered in 2009--we want you to notice its fangs,Dracula
37,32,"Show #7355 - Friday, July 29, 2016",SPELL THE FIRST NAME,$800,The recent Oscars host known as NPH,N-E-I-L
38,32,"Show #7355 - Friday, July 29, 2016",WORKING WITH A BEATLE,$800,"""Uncle Albert/Admiral Halsey"", a 1971 No. 1, is credited to Paul and this woman",Linda Eastman (McCartney)
39,32,"Show #7355 - Friday, July 29, 2016",BATTLESHIPS,$800,"Robert Ballard found the remains of this WWII German battleship in 1989; it appeared to have been scuttled, not sunk",the Bismarck
40,32,"Show #7355 - Friday, July 29, 2016",WORD ORIGINS,$800,"Today meaning a buyer or seller of stocks, it may have come from one who opened casks of wine",a broker
41,32,"Show #7355 - Friday, July 29, 2016",TRAVEL IRELAND,$800,"Over 1.5 million annually visit the shrine in the town of Knock, where visions of Joseph, St. John & her were seen in 1879",the Virgin Mary
42,32,"Show #7355 - Friday, July 29, 2016",SCARY-SOUNDING ANIMALS,$1200,"Hey, you old bag of bones--this type of shrimp, also known as the praying mantis of the sea, hangs out with us in SoCal",skeleton shrimp
43,32,"Show #7355 - Friday, July 29, 2016",SPELL THE FIRST NAME,$1200,Donald Trump's current wife,M-E-L-A-N-I-A
44,32,"Show #7355 - Friday, July 29, 2016",WORKING WITH A BEATLE,$1200,"In 1997 Ringo said, ""Baby, I Love Your Way"" & had this ex-Humble Pie guy in the All-Starr Band",Peter Frampton
45,32,"Show #7355 - Friday, July 29, 2016",BATTLESHIPS,$1200,"Built in the 1940s in the Brooklyn Navy Yard, this battleship known as ""Mighty Mo"" saw action in the Persian Gulf War",the U.S.S. Missouri
46,32,"Show #7355 - Friday, July 29, 2016",WORD ORIGINS,$1200,"Now meaning ""really great"", this adjective is from the Latin for ""frightening""",terrific
47,32,"Show #7355 - Friday, July 29, 2016",TRAVEL IRELAND,$1200,There once was a city in Ireland... this one that's home to the Munster National Steeplechase horse race,Limerick
48,32,"Show #7355 - Friday, July 29, 2016",SCARY-SOUNDING ANIMALS,$1600,"You may recognize the death's-head hawk this from its star turn in the ""Silence of the Lambs""",a moth
49,32,"Show #7355 - Friday, July 29, 2016",SPELL THE FIRST NAME,$1600,Tom Cruise's daughter with Katie Holmes,S-U-R-I
