,season,episode,category,value,clue,answer
0,1,"Show #165 - Friday, April 26, 1985",U.S. CITIES,$100,It recently moved ahead of Chicago to become our 2nd largest,Los Angeles
1,1,"Show #165 - Friday, April 26, 1985",TRIVIA,$100,"In 1796, this Frenchman confessed, ""When I see an empty throne I feel the urge to sit on it""",Napoleon
2,1,"Show #165 - Friday, April 26, 1985",HISTORY,$100,"13,000 houses were destroyed, but no one died in this city's ""Great Fire"" of 1666",London
3,1,"Show #165 - Friday, April 26, 1985",SILLY SONGS,$100,"This itsy bitsy creature ""climbed up a waterspout""",the spider
4,1,"Show #165 - Friday, April 26, 1985",U.S. CITIES,$200,There's no evidence that bison ever grazed in vicinity of this second largest NY city,Buffalo
5,1,"Show #165 - Friday, April 26, 1985",TRIVIA,$200,"Made of metal, they consist of a point, a shank & a head, & are measured in pennies or inches",nails
6,1,"Show #165 - Friday, April 26, 1985",HISTORY,$200,East Jerusalem was part of this country from 1948-67,Jordan
7,1,"Show #165 - Friday, April 26, 1985",SILLY SONGS,$200,"Jimmy does it, but ""I don't care""",crack corn
8,1,"Show #165 - Friday, April 26, 1985",U.S. CITIES,$300,"It has more Italians than Venice, more Irish than Dublin & more Jews than Jerusalem",New York City
9,1,"Show #165 - Friday, April 26, 1985",TRIVIA,$300,"Country whose people all get their last names from the 438 words in the poem ""Po-Chia-Hsing""",the Chinese
10,1,"Show #165 - Friday, April 26, 1985",HISTORY,DD: $500,"War with which this song was associated:""Over there /Over there /Send the word, send the word, over there! /Because the Yanks are coming /The Yanks are coming /The drums rum tumming everywhere...""",World War I
11,1,"Show #165 - Friday, April 26, 1985",SILLY SONGS,$300,"The 3 R's are taught to this tune in ""School Days""",the tune of a hickory stick
12,1,"Show #165 - Friday, April 26, 1985",U.S. CITIES,$400,"Florida's largest city, it's named after our 7th president",Jacksonville
13,1,"Show #165 - Friday, April 26, 1985",TRIVIA,$400,Only chess piece which can become a queen,the pawn
14,1,"Show #165 - Friday, April 26, 1985",HISTORY,$400,"From 1937-45, Chiang-Kai-shek & Mao Tse-tung joined forces to fight these invaders",the Japanese
15,1,"Show #165 - Friday, April 26, 1985",SILLY SONGS,$400,"Size shoe worn by ""My Darling Clementine""",No. 9
16,1,"Show #165 - Friday, April 26, 1985",U.S. CITIES,$500,"The mapmakers' lines which divide Washington, D.C. into 4 sections converge at this building",the Capitol
17,1,"Show #165 - Friday, April 26, 1985",TRIVIA,$500,"What the letters in the name of the cable channel ""ESPN"" stand for",the Entertainment Sports Programming Network
18,1,"Show #165 - Friday, April 26, 1985",HISTORY,$500,"In 1844, this country gained its independence from Haiti",the Dominican Republic
19,1,"Show #165 - Friday, April 26, 1985",SILLY SONGS,$500,Where K-K-K-Katy will be waiting,at the k-k-k-kitchen door
20,1,"Show #165 - Friday, April 26, 1985",ARCHITECTURE,$200,"English style which developed during the reigns of Georges I, II, III & IV",Georgian
21,1,"Show #165 - Friday, April 26, 1985",PRESIDENTS,$200,"In ""My Story"", Judith Campbell Exner describes her affair with this '60s president",John Kennedy
22,1,"Show #165 - Friday, April 26, 1985",CARDS,$200,Type of bridge that sounds as if it might be played by a bored bride and groom,honeymoon
23,1,"Show #165 - Friday, April 26, 1985",INDONESIA,$200,"In ""South Pacific"" this island was ""Ha'i""; in Indonesia, it's just this",Bali
24,1,"Show #165 - Friday, April 26, 1985",MEDICINE,$200,"As of Jan.1. 1985, California health plans must cover this ancient Chinese treatment",acupuncture
25,1,"Show #165 - Friday, April 26, 1985",LITTLE BIG MEN,$200,Randy Newman sang this song to the disdain of little folk everywhere,"""Short People"""
26,1,"Show #165 - Friday, April 26, 1985",ARCHITECTURE,$400,"From French meaning ""face"", it's the face of a building '",the façade
27,1,"Show #165 - Friday, April 26, 1985",PRESIDENTS,$400,"In 1928 he said, ""I do not choose to run""",Calvin Coolidge
28,1,"Show #165 - Friday, April 26, 1985",CARDS,$400,"2 aces, 2 eights & a queen, named for Wild Bill Hickok, who was shot holding them",a dead man\'s hand
29,1,"Show #165 - Friday, April 26, 1985",INDONESIA,$400,Famous Indonesian process of making fabrics by waxing & dyeing cloth,batik
30,1,"Show #165 - Friday, April 26, 1985",MEDICINE,$400,This implanted organ regulator became atomic powered in the '70s,a heart pacemaker
31,1,"Show #165 - Friday, April 26, 1985",LITTLE BIG MEN,$400,"Early in his career, his short stature gave him title, ""Le petit caporal,"" ""the Little Corporal""",Napoleon
32,1,"Show #165 - Friday, April 26, 1985",PRESIDENTS,$600,"Called ""His Accidency"" he was first vice-president to replace a president who died in office",John Tyler
33,1,"Show #165 - Friday, April 26, 1985",CARDS,$600,"""Going out"" after you've ""melded"" is part of this game whose name means ""basket"" in Spanish",canasta
34,1,"Show #165 - Friday, April 26, 1985",INDONESIA,$600,The Indonesian flag is identical to the flag of this European principality,Monaco
35,1,"Show #165 - Friday, April 26, 1985",LITTLE BIG MEN,$600,"At 5'6½"", this little man was well-suited to play ""Little Big Man""",Dustin Hoffman
