,season,episode,category,value,clue,answer
0,9,"Show #2065 - Friday, July 23, 1993",THE OLD TESTAMENT,$100,"When these 2 cities were destroyed for their wickedness, only Lot & his family were spared",Sodom & Gommorah
1,9,"Show #2065 - Friday, July 23, 1993",1960s TELEVISION,$100,"Its theme song begins, ""Come 'n listen to my story 'bout a man name Jed""",The Beverly Hillbillies
2,9,"Show #2065 - Friday, July 23, 1993",FRUITS & VEGETABLES,$100,The leaves of this relative of the scallion & shallot are commonly sprinkled on baked potatoes,chives
3,9,"Show #2065 - Friday, July 23, 1993",MUSICAL INSTRUMENTS,$100,"The grand one of these instruments has over 220 strings, each tuned to one of 88 pitches",piano
4,9,"Show #2065 - Friday, July 23, 1993","""SPRINGS"" ON THE MAP",$100,"From 1988 - 1992 this Calif. town didn't work its mayor pro bono, it worked its mayor Sonny Bono",Palm Springs
5,9,"Show #2065 - Friday, July 23, 1993",POTPOURRI,$100,"""Henge"", a term for a circular monument comes from the name of this monument on Salisbury Plain",Stonehenge
6,9,"Show #2065 - Friday, July 23, 1993",THE OLD TESTAMENT,$200,"Abbreviated Obad. & named for a minor prophet, it's the Old Testament's shortest book",Obadiah
7,9,"Show #2065 - Friday, July 23, 1993",1960s TELEVISION,$200,For 4 seasons Dr. Kimble was pursued by Lt. Philip Gerard in this popular series,The Fugitive
8,9,"Show #2065 - Friday, July 23, 1993",FRUITS & VEGETABLES,$200,Only this vegetable's heart & the soft flesh at the base of its leaves are eaten,artichokes
9,9,"Show #2065 - Friday, July 23, 1993",MUSICAL INSTRUMENTS,$200,"The sackbut was an early form of this ""slide"" instrument",trombone
10,9,"Show #2065 - Friday, July 23, 1993","""SPRINGS"" ON THE MAP",$200,"It's the chief town of the interior of Northern Territory, Australia",Alice Springs
11,9,"Show #2065 - Friday, July 23, 1993",POTPOURRI,$200,"These fluffy, affectionate little dogs who love to be pampered are called ""Poms"" for short",Pomeranians
12,9,"Show #2065 - Friday, July 23, 1993",THE OLD TESTAMENT,$300,"Isaiah 13:6 warns, ""Howl ye; for the day of the Lord is"" this",near (at hand)
13,9,"Show #2065 - Friday, July 23, 1993",1960s TELEVISION,$300,In 1965 this 26-year-old Canadian became the youngest to anchor a U.S. network newscast,Peter Jennings
14,9,"Show #2065 - Friday, July 23, 1993",FRUITS & VEGETABLES,$300,White seedless types of this fruit are used to make fillets of sole Veronique,grapes
15,9,"Show #2065 - Friday, July 23, 1993",MUSICAL INSTRUMENTS,$300,"About 12 inches long, it's the smallest type of flute",piccolo
16,9,"Show #2065 - Friday, July 23, 1993","""SPRINGS"" ON THE MAP",$300,"A residence in this western Georgia resort was known for a time as ""The Little White House""",Warm Springs
17,9,"Show #2065 - Friday, July 23, 1993",POTPOURRI,$300,"In a famous story, Philip Nolan was ""The Man Without"" one of these",Country
18,9,"Show #2065 - Friday, July 23, 1993",THE OLD TESTAMENT,"DD: $1,000","On orders from King Jehu, this wicked queen & wife of Ahab was thrown from a window to her death",Jezebel
19,9,"Show #2065 - Friday, July 23, 1993",1960s TELEVISION,$400,4 commandos battled Rommel's Afrika Korps each week in this WWII drama starring Christopher George,The Rat Patrol
20,9,"Show #2065 - Friday, July 23, 1993",FRUITS & VEGETABLES,$400,The Greek kalamata & French nicoise are popular imported types of these,olives
21,9,"Show #2065 - Friday, July 23, 1993",MUSICAL INSTRUMENTS,$400,The African amadinda is a type of this percussion instrument made with logs & bars,xylophone
22,9,"Show #2065 - Friday, July 23, 1993","""SPRINGS"" ON THE MAP",$400,"Once known for its casinos & springs, this city in eastern New York is now home to Skidmore College",Saratoga Springs
23,9,"Show #2065 - Friday, July 23, 1993",POTPOURRI,$400,The Joe chair named for this Yankee is shaped like a huge baseball glove,Joe DiMaggio
24,9,"Show #2065 - Friday, July 23, 1993",THE OLD TESTAMENT,$500,"The book named for this man describes him as ""perfect and upright, and one that feared God""",Job
25,9,"Show #2065 - Friday, July 23, 1993",1960s TELEVISION,$500,"In the Joe the Bartender sketches on Jackie Gleason's show, he played Crazy Guggenheim",Frank Fontaine
26,9,"Show #2065 - Friday, July 23, 1993",FRUITS & VEGETABLES,$500,The yellow Cavendish is the most popular variety of this tropical fruit in the U.S.,banana
27,9,"Show #2065 - Friday, July 23, 1993",MUSICAL INSTRUMENTS,$500,Spanish writer Vicente Espinel is often credited with adding a 5th string to this; the 6th came later,classical guitar
28,9,"Show #2065 - Friday, July 23, 1993","""SPRINGS"" ON THE MAP",$500,"It's surrounded by the U.S. Air Force Academy, Fort Carson & Peterson Field Air Force Base",Colorado Springs
29,9,"Show #2065 - Friday, July 23, 1993",POTPOURRI,$500,"She wrote the 1965 work ""Normality and Pathology in Childhood""",Anna Freud
30,9,"Show #2065 - Friday, July 23, 1993",THE SOVIET UNION,$200,"On February 7, 1990 this party formally relinquished sole power",Communist
31,9,"Show #2065 - Friday, July 23, 1993",GEOLOGY,$200,These larges masses of flowing ice occur where winter snowfall exceeds summer melt,glaciers
32,9,"Show #2065 - Friday, July 23, 1993",FASHION,$200,"Popular for decades, sling-backs are these",kind of shoe
33,9,"Show #2065 - Friday, July 23, 1993",BLACK AMERICA,$200,"On January 20,1992 Winnie Mandela helped lead a march in Atlanta honoring this slain leader",Martin Luther King Jr.
34,9,"Show #2065 - Friday, July 23, 1993",LAW,$200,"Damages can be compensatory, to compensate, or this kind to punish",punitive
35,9,"Show #2065 - Friday, July 23, 1993",AGELESS QUOTES,$200,"Whale tale author who wrote, ""Youth is immortal; 'tis the elderly only grow old!""",Melville
36,9,"Show #2065 - Friday, July 23, 1993",THE SOVIET UNION,$400,"Dr. Svyatoslav Fyodorov invented radial keratotomy, a procedure used on this organ",eye
37,9,"Show #2065 - Friday, July 23, 1993",GEOLOGY,$400,"Ash & pumice are examples of tephra, the fragmental material ejected from one of these",volcano
38,9,"Show #2065 - Friday, July 23, 1993",FASHION,$400,The discovery of this in 1922 led to a fashion trend of Egyptian motifs,King Tut\'s tomb
39,9,"Show #2065 - Friday, July 23, 1993",BLACK AMERICA,$400,"Charles Evers, brother of this civil rights leader, was mayor of Fayette, Miss. from 1969-1981",Medgar Evers
40,9,"Show #2065 - Friday, July 23, 1993",LAW,$400,"A contract characterized by exchange of mutual promises, it's also a synonym for betrothal",engagement
41,9,"Show #2065 - Friday, July 23, 1993",AGELESS QUOTES,$400,"In ""The Brook"" this ""Light Brigade"" author wrote, ""For men may come & men may go, but I go on forever""",Tennyson
42,9,"Show #2065 - Friday, July 23, 1993",THE SOVIET UNION,$600,"Soviet Olympic stars have included Olga Korbut, a gymnast, & Sergei Bubka, one of these",pole vaulter
43,9,"Show #2065 - Friday, July 23, 1993",GEOLOGY,$600,The mineral andalusite was named for a region of this country where it was discovered,Spain
44,9,"Show #2065 - Friday, July 23, 1993",FASHION,$600,This fabric used mainly for coats & pants can be identified by its cut-pile ribs or wales,corduroy
45,9,"Show #2065 - Friday, July 23, 1993",BLACK AMERICA,$600,In 1899 then N.Y. Governor Teddy Roosevelt dedicated a monument in Rochester to this famed orator,Frederick Douglass
46,9,"Show #2065 - Friday, July 23, 1993",LAW,$600,Legal term meaning to trade goods or services without using money,barter
47,9,"Show #2065 - Friday, July 23, 1993",AGELESS QUOTES,$600,"Oscar Wilde wrote, ""One should never trust a woman who tells one"" this; she ""would tell one anything""",her real age
48,9,"Show #2065 - Friday, July 23, 1993",THE SOVIET UNION,"DD: $2,000",In the 1920s Felix Dzerzhinsky began the system of forced labor camps now known by this Russian name,gulag
49,9,"Show #2065 - Friday, July 23, 1993",GEOLOGY,$800,This period of the Mesozoic Era is name for the Jura Mountains of Europe,Jurassic
50,9,"Show #2065 - Friday, July 23, 1993",FASHION,$800,"Among the hairstyles created by this man are ""the shape"" & the geometric ""five-point cut""",Vidal Sassoon
51,9,"Show #2065 - Friday, July 23, 1993",BLACK AMERICA,$800,It was the nickname of folk singer & composer Huddie Ledbetter,Leadbelly
52,9,"Show #2065 - Friday, July 23, 1993",LAW,"DD: $2,100",Term for the process by which a person acquires a new citizenship,naturalization
53,9,"Show #2065 - Friday, July 23, 1993",AGELESS QUOTES,$800,"Ben Franklin said, ""Dost thou love life? Then do not squander"" this, ""for that's the stuff life is made of""",time
54,9,"Show #2065 - Friday, July 23, 1993",THE SOVIET UNION,$1000,In 1985 Mikhail Gorbachev replaced this man as party leader,Konstantin Chernenko
55,9,"Show #2065 - Friday, July 23, 1993",GEOLOGY,$1000,"From French for ""hillock"", this is a flat-topped hill smaller than a mesa",butte
56,9,"Show #2065 - Friday, July 23, 1993",FASHION,$1000,"Flappers of the 1920 popularly wore this tight-fitting, bell-shaped hat with a French name",cloche
57,9,"Show #2065 - Friday, July 23, 1993",BLACK AMERICA,$1000,"If ""Truth"" be told, the birth name of this reformer & abolitionist was Isabella Baumfree",Sojourner Truth
58,9,"Show #2065 - Friday, July 23, 1993",LAW,$1000,"Legally speaking this can mean ""to endure pain"" or ""to permit""",suffer
59,9,"Show #2065 - Friday, July 23, 1993",AGELESS QUOTES,$1000,"Roman orator who said, ""No one is so old that he does not think he could live another year""",Cicero
60,9,"Show #2065 - Friday, July 23, 1993",HISTORIC NAMES,,"Following his appointment as engineer in 1482, he planned & constructed canals in Milan, Italy",Leonardo da Vinci
61,9,"Show #2064 - Thursday, July 22, 1993",HISTORY,$100,In the 1390s King John I of Castile & King John I of Aragon both died by falling from these animals,horses
62,9,"Show #2064 - Thursday, July 22, 1993",REPUBLICANS,$100,This daughter of Ronald Reagan ran fifth in the 1982 California primary for the U.S. Senate,Maureen Reagan
63,9,"Show #2064 - Thursday, July 22, 1993",BRITISH WORDS,$100,These rubber boots are called wellies for short,wellingtons
64,9,"Show #2064 - Thursday, July 22, 1993",BRAINS,$100,"His writings include the 1920 publication ""Relativity: The Special and General Theory""",Albert Einstein
65,9,"Show #2064 - Thursday, July 22, 1993",BRAWN,$100,"He's a lumberjack & he's okay, his footprints became the Great Lakes",Paul Bunyan
66,9,"Show #2064 - Thursday, July 22, 1993",REAL NAMES ON THE MARQUEE,$100,"Ruth Elizabeth Davis & Lucille Le Sueur in ""Whatever Happened to Baby Jane?""",Bette Davis & Joan Crawford
67,9,"Show #2064 - Thursday, July 22, 1993",HISTORY,$200,"Joachim of Fiore divided history into 3 ages: the ages of the Father, the Son & this entity",Holy Ghost
68,9,"Show #2064 - Thursday, July 22, 1993",REPUBLICANS,$200,"On Dec. 19, 1974 this former New York governor became vice president under the 25th Amendment",Nelson Rockefeller
69,9,"Show #2064 - Thursday, July 22, 1993",BRITISH WORDS,$200,British theatregoers call it the interval,intermission (*entr\'acte)
70,9,"Show #2064 - Thursday, July 22, 1993",BRAINS,$200,Past winners of this annual event include Bob Verini & Bob Blake,Tournament of Champions on Jeopardy!
71,9,"Show #2064 - Thursday, July 22, 1993",BRAWN,$200,"You might say that the source of this biblical hero's strength was hair today, gone tomorrow",Samson
72,9,"Show #2064 - Thursday, July 22, 1993",REAL NAMES ON THE MARQUEE,$200,"Maria Farrow & Ruth Jones in ""Rosemary's Baby""",Mia Farrow & Ruth Gordon
73,9,"Show #2064 - Thursday, July 22, 1993",HISTORY,$300,"Ancus Marcius, the legendary fourth king of this city, may have been the grandson of Numa Pompilus",Rome
74,9,"Show #2064 - Thursday, July 22, 1993",REPUBLICANS,$300,"In 1960s this senator from Arizona published ""The Conscience of a Conservative""",Barry Goldwater
75,9,"Show #2064 - Thursday, July 22, 1993",BRITISH WORDS,$300,Order candy floss at an amusement park & you'll get this fluffy confection,cotton candy
76,9,"Show #2064 - Thursday, July 22, 1993",BRAINS,$300,"""A Gardener Touched with Genius"" is Peter Dreyer's book on this American hoticulturist",Luther Burbank
77,9,"Show #2064 - Thursday, July 22, 1993",BRAWN,$300,"A Big Bad one in song saved miners, a Little one in Sherwood Forest was a Merry Man",John
78,9,"Show #2064 - Thursday, July 22, 1993",REAL NAMES ON THE MARQUEE,$300,"Frederick Auserlitz & Virginia McMath in ""Flying Down to Rio""",Fred Astaire & Ginger Rodgers
79,9,"Show #2064 - Thursday, July 22, 1993",HISTORY,$400,"In 1616 this Native American created a sensation in London, where she was known as Lady Rebecca",Pocahontas
80,9,"Show #2064 - Thursday, July 22, 1993",REPUBLICANS,DD: $600,"Son of a U.S. president, he served as a senator from Ohio from 1939 until his death in 1953",Robert Taft
81,9,"Show #2064 - Thursday, July 22, 1993",BRITISH WORDS,$400,Brits call this part of a car the silencer,muffler
82,9,"Show #2064 - Thursday, July 22, 1993",BRAINS,$400,"Blaise Pascal is said to have mastered this Greek mathematician's ""Elements"" by age 12",Euclid
83,9,"Show #2064 - Thursday, July 22, 1993",BRAWN,$400,Name shared by a Titan & a former 97-pound runt,Atlas
84,9,"Show #2064 - Thursday, July 22, 1993",REAL NAMES ON THE MARQUEE,$400,"Greta Gustafsson & Melvin Hesselberg in ""Ninotchka""",Greta Garbo & Melvyn Douglas
85,9,"Show #2064 - Thursday, July 22, 1993",HISTORY,$500,"2-word ""seasonal"" term given to the time of reform in Czechoslovakia after March 22, 1968",Prague Spring
86,9,"Show #2064 - Thursday, July 22, 1993",REPUBLICANS,$500,This state's Mark Hatfield is the ranking Republican on the Senate Appropriations Committee,Oregon
87,9,"Show #2064 - Thursday, July 22, 1993",BRITISH WORDS,$500,The ancient name for this city was Mancunium & a person from it is still called a Mancunian,Manchester
88,9,"Show #2064 - Thursday, July 22, 1993",BRAINS,$500,"After this coil inventor moved to America, he worked briefly with another genius⁠—Thomas Edison",Nikola Tesla
